,NANL,ISONET,Node-Early,Edge-Early,NANL-Consistency-0.7,NANL-Consistency-1.0
aids,0.5936581324441098,0.6754492737748665,0.8178554816016516,0.8255732438981593,0.6909425339502223,0.7314109580705984
mutag,0.6788395111228844,0.6900257501400301,0.8465920616177095,0.8080015433336533,0.7361897055070274,0.7502459334686494
ptc_fm,0.7342901064140179,0.7717702336586731,0.8753237572473789,0.8930566470042318,0.7866071464501476,0.7599595555752943
ptc_fr,0.6917187033369213,0.7206005468802141,0.8296330057432938,0.8570827170792021,0.7270221144419468,0.7205070980338544
ptc_mm,0.6865021369668967,0.7232965606134261,0.8501036102751532,0.8644011106129195,0.7446626908456048,0.7156781281424986
ptc_mr,0.7388241868285902,0.7527189296440595,0.8803235446735833,0.8531294631074883,0.7693607800126435,0.7582191373510446
